图片,名称,价格,磨损度,date,price,ID,quantity_on_sale
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/7 15:00,6.14,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/8 3:00,6.09,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/8 15:00,6.2,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/9 3:00,6.05,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/9 15:00,6.11,928038,2830
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/10 3:00,6.02,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/10 15:00,5.95,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/11 3:00,5.83,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/11 15:00,5.67,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/12 3:00,5.64,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/12 15:00,5.5,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/13 3:00,5.39,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/13 15:00,5.3,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/14 3:00,5.29,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/14 15:00,5.19,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/15 3:00,5.18,928038,2990
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/15 15:00,5.16,928038,2820
,印花 | Vitality（全息）| 2023年巴黎锦标赛,4.43,,2024/4/16 3:00,5.15,928038,2820
